purchase_date,member_id,store,category,product,qty,amount,transaction_id
2024-01-05,M001,summit,groceries,milk,2,380,T20240105001
2024-01-05,M001,summit,groceries,bread,1,250,T20240105001
2024-01-05,M001,summit,snacks,chips,1,180,T20240105001
2024-01-05,M002,tomods,pharmacy,vitamins,1,1500,T20240105002
2024-01-05,M003,summit,groceries,eggs,1,320,T20240105003
2024-01-05,M003,summit,beverages,orange_juice,2,480,T20240105003
2024-01-06,M004,tomods,cosmetics,face_cream,1,2800,T20240106001
2024-01-06,M005,summit,groceries,rice,1,1980,T20240106002
2024-01-06,M005,summit,groceries,vegetables,3,450,T20240106002
2024-01-07,M001,tomods,pharmacy,cold_medicine,1,980,T20240107001
2024-01-07,M006,summit,snacks,chocolate,2,360,T20240107002
2024-01-07,M006,summit,beverages,coffee,1,890,T20240107002
2024-01-08,M002,summit,groceries,milk,1,190,T20240108001
2024-01-08,M007,tomods,cosmetics,shampoo,1,680,T20240108002
2024-01-08,M007,tomods,cosmetics,conditioner,1,720,T20240108002
2024-01-09,M008,summit,groceries,bread,2,500,T20240109001
2024-01-09,M008,summit,groceries,butter,1,380,T20240109001
2024-01-10,M003,tomods,pharmacy,bandages,1,450,T20240110001
2024-01-10,M009,summit,beverages,tea,3,720,T20240110002
2024-01-11,M010,summit,groceries,eggs,2,640,T20240111001
2024-01-11,M010,summit,snacks,cookies,1,280,T20240111001
2024-01-12,M004,summit,groceries,milk,1,190,T20240112001
2024-01-12,M004,summit,groceries,yogurt,2,420,T20240112001
2024-01-13,M011,tomods,cosmetics,lipstick,1,1200,T20240113001
2024-01-13,M011,tomods,cosmetics,mascara,1,980,T20240113001
2024-01-14,M012,summit,groceries,rice,1,1980,T20240114001
2024-01-14,M012,summit,groceries,noodles,2,480,T20240114001
2024-01-15,M001,summit,snacks,chips,2,360,T20240115001
2024-01-15,M001,summit,beverages,soda,3,450,T20240115001
2024-01-16,M013,tomods,pharmacy,vitamins,2,3000,T20240116001
2024-01-16,M014,summit,groceries,vegetables,4,600,T20240116002
2024-01-17,M005,tomods,cosmetics,sunscreen,1,1580,T20240117001
2024-01-17,M015,summit,groceries,milk,2,380,T20240117002
2024-01-17,M015,summit,groceries,eggs,1,320,T20240117002
2024-01-18,M016,summit,snacks,chocolate,3,540,T20240118001
2024-01-18,M016,summit,beverages,coffee,2,1780,T20240118001
2024-01-19,M002,tomods,pharmacy,pain_relief,1,780,T20240119001
2024-01-19,M017,summit,groceries,bread,1,250,T20240119002
2024-01-20,M018,tomods,cosmetics,face_wash,1,890,T20240120001
2024-01-20,M018,tomods,cosmetics,toner,1,1280,T20240120001
2024-01-21,M003,summit,groceries,rice,1,1980,T20240121001
2024-01-21,M003,summit,beverages,tea,2,480,T20240121001
2024-01-22,M019,summit,snacks,cookies,2,560,T20240122001
2024-01-22,M020,tomods,pharmacy,cold_medicine,1,980,T20240122002
2024-01-23,M006,summit,groceries,eggs,1,320,T20240123001
2024-01-23,M006,summit,groceries,milk,1,190,T20240123001
2024-01-24,M021,tomods,cosmetics,perfume,1,4500,T20240124001
2024-01-24,M022,summit,groceries,vegetables,2,300,T20240124002
2024-01-25,M001,tomods,pharmacy,vitamins,1,1500,T20240125001
2024-01-25,M023,summit,snacks,chips,1,180,T20240125002
2024-01-26,M024,summit,groceries,bread,2,500,T20240126001
2024-01-26,M024,summit,groceries,butter,1,380,T20240126001
2024-01-27,M007,summit,beverages,coffee,1,890,T20240127001
2024-01-27,M025,tomods,cosmetics,shampoo,2,1360,T20240127002
2024-01-28,M008,summit,groceries,rice,1,1980,T20240128001
2024-01-28,M026,tomods,pharmacy,bandages,2,900,T20240128002
2024-01-29,M027,summit,snacks,chocolate,1,180,T20240129001
2024-01-29,M027,summit,beverages,soda,2,300,T20240129001
2024-01-30,M009,tomods,cosmetics,face_cream,1,2800,T20240130001
2024-01-31,M028,summit,groceries,milk,2,380,T20240131001
2024-01-31,M028,summit,groceries,eggs,1,320,T20240131001
2024-02-01,M001,summit,groceries,vegetables,3,450,T20240201001
2024-02-01,M029,tomods,pharmacy,vitamins,1,1500,T20240201002
2024-02-02,M030,summit,snacks,cookies,1,280,T20240202001
2024-02-02,M030,summit,beverages,tea,2,480,T20240202001
2024-02-03,M004,tomods,cosmetics,lipstick,1,1200,T20240203001
2024-02-03,M031,summit,groceries,bread,1,250,T20240203002
2024-02-04,M010,summit,groceries,rice,1,1980,T20240204001
2024-02-04,M010,summit,groceries,noodles,1,240,T20240204001
2024-02-05,M032,tomods,pharmacy,cold_medicine,1,980,T20240205001
2024-02-05,M033,summit,snacks,chips,2,360,T20240205002
2024-02-06,M012,summit,beverages,coffee,2,1780,T20240206001
2024-02-06,M034,tomods,cosmetics,mascara,1,980,T20240206002
2024-02-07,M002,summit,groceries,milk,1,190,T20240207001
2024-02-07,M002,summit,groceries,yogurt,2,420,T20240207001
2024-02-08,M035,tomods,pharmacy,pain_relief,1,780,T20240208001
2024-02-08,M036,summit,snacks,chocolate,2,360,T20240208002
2024-02-09,M003,summit,groceries,eggs,2,640,T20240209001
2024-02-09,M037,tomods,cosmetics,sunscreen,1,1580,T20240209002
2024-02-10,M014,summit,groceries,vegetables,2,300,T20240210001
2024-02-10,M038,summit,beverages,orange_juice,2,480,T20240210002
2024-02-11,M039,tomods,pharmacy,vitamins,1,1500,T20240211001
